"Wavelength","Semrock FF01-400/40","Semrock FF01-470/28","Semrock FF01-532/18","Chroma 51000bs","pco.edge 4.2","Omicron LedHUB 405nm LED","Omicron LedHUB 475nm LED","Omicron LedHUB 530nm LED"
384,0.93458998,2.6596999e-7,1.4311e-7,0.33591499924659995,0.313943493236638,0.0122626530259966,0.000510000000000281,-0.000478455120759285
385,0.93322003,2.4686e-7,1.132e-7,0.34775999188423,0.318448492756359,0.0163317358727342,0.000550000000000352,-0.000478455120759285
386,0.94137001,2.0285999e-7,1.2947e-7,0.34266400337219,0.322829273737412,0.0221390701491604,0.000600000000000493,-0.000478455120759285
387,0.94862002,1.3747e-7,2.2403e-7,0.33263701200484996,0.327089161166129,0.030083748678384,0.000670000000000563,-0.000478455120759285
388,0.94793999,9.3159002e-8,3.8766001e-7,0.32455798983573997,0.331188186220292,0.0404545508484109,0.00075000000000042,-0.000478455120759285
389,0.94709003,6.9785003e-8,6.7079998e-7,0.34542098641396,0.335182597742767,0.0541054874375773,0.00081000000000022,-0.000478455120759285
390,0.93979001,5.4765e-8,7.0729999e-7,0.37540900707245,0.339154140138372,0.0708744993712642,0.00085000000000017,-0.000478455120759285
391,0.94805998,3.7665998e-8,6.3338001e-7,0.37700399756432007,0.343197983481915,0.0917669650306063,0.000879999999999971,-0.000478455120759285
392,0.96306002,1.9794999e-8,5.6718e-7,0.37539100646973,0.347326500254528,0.117157073061193,0.000879999999999919,-0.000478455120759285
393,0.95462,1.0403e-8,6.1514999e-7,0.38817599415778997,0.351480757071983,0.147963142814982,0.000869999999999767,-0.000478455120759285
394,0.96822,7.8857001e-9,3.7012001e-7,0.38695400953292997,0.355722235019626,0.184683489349471,0.000839999999999789,-0.000478455120759285
395,0.95656002,7.6306996e-9,2.227e-7,0.36350399255753,0.360078032063253,0.228179285445339,0.00080999999999979,-0.000478455120759285
396,0.96653998,7.3840001e-9,1.3399e-7,0.29679900407790993,0.364539604677228,0.280514119463756,0.000779999999999628,-0.000478455120759285
397,0.95109999,7.2423001e-9,1e-7,0.22145999968052,0.369100355560748,0.342310144937951,0.000729999999999488,-0.000478455120759285
